RowNumber,AnimalName,AnimalGender,AnimalBirthMonth,BreedName,Borough,ZipCode,LicenseIssuedDate,LicenseExpiredDate,Extract Year
84459,BRANDY,M,2003,Unknown,,10034,07/13/2018,08/30/2019,2018
84467,SHOWGIRL,F,2010,Shetland Sheepdog,,10461,07/13/2018,08/30/2019,2018
84496,URI,F,2006,Golden Retriever,,10306,07/13/2018,08/30/2019,2018
84499,VERA,F,2007,"Welsh Corgi, Cardigan",,10014,07/13/2018,08/30/2019,2018
84539,RASTA,M,2006,Shih Tzu,,11229,07/13/2018,08/30/2019,2018
84540,WEST,M,2004,Dachshund Smooth Coat,,11379,07/13/2018,08/30/2019,2018
84541,MAX,M,2003,Shih Tzu,,11375,07/13/2018,08/30/2019,2018
84542,CASSIE,F,2002,"Poodle, Standard",,10024,07/13/2018,08/30/2019,2018
84574,DUFFY,F,2007,Unknown,,10021,07/13/2018,08/30/2019,2018
84575,ELANS,F,2003,"Poodle, Toy",,10128,07/13/2018,08/30/2019,2018
84576,LEILA,F,2003,Yorkshire Terrier,,11356,07/13/2018,08/30/2019,2018
84577,WOOF,F,2004,Shih Tzu,,11377,07/13/2018,08/30/2019,2018
84578,PRINCE,M,2006,Yorkshire Terrier,,11215,07/13/2018,08/30/2019,2018
84603,REILLY,M,2005,Golden Retriever,,10310,07/13/2018,08/30/2019,2018
84604,SKOBIE,M,2006,Unknown,,11225,07/13/2018,08/30/2019,2018
84606,BUDDY,M,2004,"Schnauzer, Miniature",,10312,07/13/2018,08/30/2019,2018
84622,JUNE,F,2010,Shetland Sheepdog,,10461,07/13/2018,08/30/2019,2018
84643,EIN,F,2005,"Welsh Corgi, Pembroke",,10312,07/13/2018,08/30/2019,2018
84644,CHARLIE,M,2005,Unknown,,10022,07/13/2018,08/30/2019,2018
84645,BELLA,F,2006,Unknown,,11379,07/13/2018,08/30/2019,2018
84646,SNOWY,F,2000,Unknown,,11367,07/13/2018,08/30/2019,2018
84647,BELLA,F,2006,Unknown,,11417,07/13/2018,08/30/2019,2018
84648,LUCY,F,2007,Shih Tzu,,11228,07/13/2018,08/30/2019,2018
84649,MAE,F,2002,Beagle Crossbreed,,10013,07/13/2018,08/30/2019,2018
84653,BEAR,M,2009,Unknown,,11385,07/13/2018,08/30/2019,2018
84721,TP,F,2002,West High White Terrier,,11362,07/14/2018,08/30/2019,2018
84722,CHARLIE,M,2004,Unknown,,10463,07/14/2018,08/30/2019,2018
84723,RILEY,F,2010,Labrador Retriever,,10065,07/14/2018,08/30/2019,2018
84834,COSMO,M,2005,Unknown,,11386,07/15/2018,08/30/2019,2018
84864,TONY,M,2007,Yorkshire Terrier,,11205,07/15/2018,08/30/2019,2018
84865,BODEWELL,M,2006,Yorkshire Terrier,,10025,07/15/2018,08/30/2019,2018
84951,MR,M,2006,Dachshund Smooth Coat,,11373,07/15/2018,08/30/2019,2018
84952,BOGART,M,2004,Bichon Frise,,10312,07/15/2018,08/30/2019,2018
84999,LAYLA,F,2005,Labradoodle,,10128,07/15/2018,08/30/2019,2018
85000,JACK,M,2003,Unknown,,10024,07/15/2018,08/30/2019,2018
85051,BUDDI,M,2007,Cotton De Tulear,,11357,07/16/2018,08/30/2019,2018
85054,JULIE,F,2006,Yorkshire Terrier,,11224,07/16/2018,08/30/2019,2018
85087,PUDGY,M,2004,Pug,,10312,07/16/2018,08/30/2019,2018
85089,BABY,F,2007,Unknown,,10307,07/16/2018,08/30/2019,2018
85127,MONTE,M,2005,Maltese,,10003,07/16/2018,08/30/2019,2018
85168,LEXI,F,2004,German Shepherd Dog,,10304,07/16/2018,08/30/2019,2018
85171,MAXX,M,2006,Maltese,,10021,07/16/2018,08/30/2019,2018
85221,LITTLE,M,2005,Unknown,,10028,07/16/2018,08/30/2019,2018
85251,BABY,F,2006,Pomeranian,,10314,07/16/2018,08/30/2019,2018
85287,NINA,F,2005,"Poodle, Toy",,10455,07/16/2018,08/30/2019,2018
85290,TEQUILA,M,2006,Chihuahua,,10314,07/16/2018,08/30/2019,2018
85293,LANCE,M,2007,Labrador Retriever,,10019,07/16/2018,08/30/2019,2018
85294,MISSY,F,2004,Dachshund Smooth Coat,,11214,07/16/2018,08/30/2019,2018
85351,RAZ,M,2007,Labrador Retriever Crossbreed,,10027,07/17/2018,08/30/2019,2018
85372,BRUTUS,M,2007,"Bull Dog, English",,10461,07/17/2018,08/30/2019,2018
85373,PERUGINA,F,2005,Unknown,,10310,07/17/2018,08/30/2019,2018
85439,ROXIE,F,2004,Unknown,,10304,07/17/2018,08/30/2019,2018
85522,HENRY,M,2005,Unknown,,10312,07/17/2018,08/30/2019,2018
85523,TEDDY,M,2007,Unknown,,10023,07/17/2018,08/30/2019,2018
85585,MIKEY,M,2007,Yorkshire Terrier,,10314,07/18/2018,08/30/2019,2018
85705,ISABEL,F,2004,Jack Russell Terrier,,10025,07/18/2018,08/30/2019,2018
85706,CHARLIE,M,2005,Yorkshire Terrier,,11357,07/18/2018,08/30/2019,2018
85865,LIAM,M,2006,Pug,,10025,07/19/2018,08/30/2019,2018
86005,MOLLY,F,2004,Unknown,,11101,07/19/2018,08/30/2019,2018
86093,MISS,F,2002,Unknown,,10025,07/20/2018,08/30/2019,2018
86165,BUDDY,M,2012,"Coonhound, Black and Tan",,11358,07/20/2018,08/30/2019,2018
86305,ADONIS,M,2010,Dachshund Smooth Coat,,10031,07/20/2018,08/30/2019,2018
